id,service,name,email,company,phone,website,message,created_at,updated_at
12,Email88,werwer,sdfsd@yahoo.com,Metrix,12345689,www.webqom.com,"I would like to know more about Email88 solutions. ","2017-09-11 03:07:43","2017-09-11 03:07:43"
32,"Responsive Web Design",abc,abcd@gmail.com,ooo,132,abc.ocm,"I would like to know more about Email88 solutions. ","2017-10-04 01:54:23","2017-10-04 01:54:23"
34,Email88,"ankit parmar",ankit@gmail12.com,"ankit idea infotech",8866770562,ankitparmar.com,"I would like to know more about Email88 solutions. ","2017-10-05 01:23:32","2017-10-05 01:23:32"
47,"web hosting",www,swsw@dsds.com,twetwetew,532543254254,www.wewew.com,rewqrqwre,"2019-03-16 23:17:49","2019-03-16 23:17:49"
48,"web hosting",www,swsw@dsds.com,twetwetew,532543254254,www.wewew.com,rewqrqwre,"2019-03-16 23:18:08","2019-03-16 23:18:08"
49,"vps hosting",rrerere,rewrw@ewew.com,fdsfdsafafd,42142143124321,www.rerere.com,43214214321431,"2019-03-16 23:41:27","2019-03-16 23:41:27"
50,domains,testavan,test@gmail.com,wad,79988,ssss,sssssss,"2019-04-05 05:37:47","2019-04-05 05:37:47"
51,"online marketing",Ashish,avan.csolution@gmail.com,Test,7986014801,test,"This is a test message from services/dedicated_servers page.","2019-04-05 05:42:52","2019-04-05 05:42:52"
52,"social media application",s,s@dd.cc,s,0,s,s,"2019-04-05 14:48:17","2019-04-05 14:48:17"
53,"e-commerce package",testashish,test@yahoo.in,test,78986546212,yysh.ccc,"This is test message from dedicated server page","2019-04-05 14:56:20","2019-04-05 14:56:20"
54,"e-commerce package",testashish,test@yahoo.in,test,78986546212,yysh.ccc,"This is test message from dedicated server page","2019-04-05 14:56:56","2019-04-05 14:56:56"
55,"online marketing",Ashish,ashish@gmail.com,test,785656265232,test.com,"This test message from contact page","2019-04-05 14:57:50","2019-04-05 14:57:50"
56,domains,ashish,ashish@yahoo.in,test.com,878784664465,test.com,"This is test message from dedicated page ignore it.","2019-04-05 14:58:44","2019-04-05 14:58:44"
57,"ssl certificates",dss,ds@ddd,ds1a,18954216620,ssd.ff,testt,"2019-04-07 05:00:33","2019-04-07 05:00:33"
58,"social media application",sss,sss@sss,ddd,785656265232,ddd.hhh,ssss,"2019-04-07 18:07:37","2019-04-07 18:07:37"
59,"social media application",sss,sss@sss,ddd,785656265232,ddd.hhh,ssss,"2019-04-07 18:10:08","2019-04-07 18:10:08"
